[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-04 17:34:13 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-04 17:34:13 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:34:21 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 24.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:34:21 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=123.017, P90 xfer time (ms)=191.505, Avg post time (ms)=25.186, P90 post time (ms)=26.027, Avg MB per transfer=640.0, Throughput (MB/s)=5202.533, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:34:31 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.2 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:34:31 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.92, P90 xfer time (ms)=200.939, Avg post time (ms)=1.31, P90 post time (ms)=1.595, Avg MB per transfer=640.0, Throughput (MB/s)=3201.277, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:34:41 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 44.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:34:41 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.858, P90 xfer time (ms)=200.81, Avg post time (ms)=1.445, P90 post time (ms)=1.748, Avg MB per transfer=640.0, Throughput (MB/s)=3202.27, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:34:51 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:34:51 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=200.057, P90 xfer time (ms)=201.0, Avg post time (ms)=1.157, P90 post time (ms)=1.172, Avg MB per transfer=640.0, Throughput (MB/s)=3199.092, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:01 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 47.8 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:01 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=199.108, P90 xfer time (ms)=199.922, Avg post time (ms)=1.13, P90 post time (ms)=1.137, Avg MB per transfer=640.0, Throughput (MB/s)=3214.344, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:11 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 46.2 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:11 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.805, P90 xfer time (ms)=200.708, Avg post time (ms)=1.16, P90 post time (ms)=1.183, Avg MB per transfer=640.0, Throughput (MB/s)=3203.123, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:21 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:21 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.194, P90 xfer time (ms)=200.216, Avg post time (ms)=1.172, P90 post time (ms)=1.206, Avg MB per transfer=640.0, Throughput (MB/s)=3212.944, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:31 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:31 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.117, P90 xfer time (ms)=200.157, Avg post time (ms)=1.144, P90 post time (ms)=1.155, Avg MB per transfer=640.0, Throughput (MB/s)=3214.191, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:41 [loggers.py:257] Engine 000: Avg prompt throughput: 409.5 tokens/s, Avg generation throughput: 44.5 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:41 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=197.452, P90 xfer time (ms)=197.743, Avg post time (ms)=1.142, P90 post time (ms)=1.149, Avg MB per transfer=640.0, Throughput (MB/s)=3241.294, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:51 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 49.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:35:51 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.676, P90 xfer time (ms)=200.631, Avg post time (ms)=1.151, P90 post time (ms)=1.157, Avg MB per transfer=640.0, Throughput (MB/s)=3205.188, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:36:01 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:36:01 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=201.331, P90 xfer time (ms)=201.952, Avg post time (ms)=1.171, P90 post time (ms)=1.181, Avg MB per transfer=640.0, Throughput (MB/s)=3178.841, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:36:11 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 34.9 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:36:11 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=200.223, P90 xfer time (ms)=200.354, Avg post time (ms)=1.162, P90 post time (ms)=1.165, Avg MB per transfer=640.0, Throughput (MB/s)=3196.436, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:36:21 [loggers.py:257] Engine 000: Avg prompt throughput: 409.5 tokens/s, Avg generation throughput: 6.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-04 17:36:21 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=199.646, P90 xfer time (ms)=199.818, Avg post time (ms)=1.176, P90 post time (ms)=1.179, Avg MB per transfer=640.0, Throughput (MB/s)=3205.666, Avg number of descriptors=40960.0
