timestamp	tx_byte_counter	rx_byte_counter
1772646421104635824	13428260751376	4400643789768
1772646421104997284	13428260786232	4400648875000
1772646421105365231	13428260839808	4400655577696
1772646421105874243	13428260880284	4400658841728
1772646421106808929	13428260908332	4400662010124
1772646421107774664	13428260936672	4400665190992
1772646421108747034	13428260962868	4400668097436
1772646421109717476	13428260988324	4400670908244
1772646421110701458	13428261015484	4400673935268
1772646421111712219	13428261043084	4400677141084
1772646421112706431	13428261071724	4400680342744
1772646421113665513	13428261099768	4400683565196
1772646421114635344	13428261128852	4400686800120
1772646421115599104	13428261157192	4400689972672
1772646421116550877	13428261185832	4400693211756
1772646421117512277	13428261214468	4400696388468
1772646421118485641	13428261242440	4400699552704
1772646421119448118	13428261270636	4400702729416
1772646421120423842	13428261299052	4400705881180
1772646421121372408	13428261325988	4400708916520
1772646421122344972	13428261353664	4400712084916
1772646421123313614	13428261381784	4400715199260
1772646421124264374	13428261409976	4400718400920
1772646421125212649	13428261438764	4400721623368
1772646421126182749	13428261467624	4400724862452
1772646421127162145	13428261496336	4400728051636
1772646421128120880	13428261524456	4400731211716
1772646421129076278	13428261552724	4400734413376
1772646421130042470	13428261581360	4400737656616
1772646421131003331	13428261609924	4400740841644
1772646421131961840	13428261638268	4400744059936
1772646421132913032	13428261666312	4400747153488
1772646421133878599	13428261694284	4400750338516
1772646421134842648	13428261722480	4400753494440
1772646421135811433	13428261750376	4400756654520
1772646421136784189	13428261778868	4400759810440
1772646421137734841	13428261806912	4400762995468
1772646421138682050	13428261835108	4400766122284
1772646421139628134	13428261863004	4400769290680
1772646421140568166	13428261891124	4400772425812
1772646421141528966	13428261919688	4400775710632
1772646421142466067	13428261948400	4400778854080
1772646421143429044	13428261976224	4400781980896
1772646421144382116	13428262003976	4400785128504
1772646421145338461	13428262032244	4400788330164
1772646421146312227	13428262061028	4400791552612
1772646421147301364	13428262090260	4400794816644
1772646421148278776	13428262118232	4400797955932
1772646421149236719	13428262146276	4400801099380
1772646421150226047	13428262173952	4400804242828
1772646421151216519	13428262202220	4400807398752
1772646421152164543	13428262230564	4400810550516
1772646421153119733	13428262258092	4400813681488
1772646421154088400	13428262286360	4400816908096
1772646421155038547	13428262315292	4400820088968
1772646421156020657	13428262343192	4400823257364
1772646421156995160	13428262371608	4400826413284
1772646421157979531	13428262399800	4400829639892
1772646421158952569	13428262428512	4400832816604
1772646421159927521	13428262456560	4400835964212
1772646421160903466	13428262484828	4400839140924
1772646421161847656	13428262512948	4400842338424
1772646421162811135	13428262541660	4400845515136
1772646421163788562	13428262570076	4400848725112
1772646421164779845	13428262597752	4400851843612
1772646421165715233	13428262625500	4400854957956
1772646421166698412	13428262653324	4400858109720
1772646421167676609	13428262681888	4400861286432
1772646421168653997	13428262709860	4400864454828
1772646421169632262	13428262737980	4400867606592
1772646421170605132	13428262766028	4400870762512
1772646421171561881	13428262794592	4400873955856
1772646421172517636	13428262822488	4400877066040
1772646421173479974	13428262850904	4400880267700
1772646421174461323	13428262878656	4400883431940
1772646421175425881	13428262907516	4400886646072
1772646421176409079	13428262936004	4400889835260
1772646421177372637	13428262962720	4400892874756
