timestamp	tx_byte_counter	rx_byte_counter
1772646421104940238	16824825619016	5276268486004
1772646421105298312	16824827951652	5276268533216
1772646421105773391	16824835365368	5276268599300
1772646421106218385	16824839240624	5276268610696
1772646421106574998	16824840521288	5276268621648
1772646421106930737	16824841752056	5276268632376
1772646421107290436	16824842916296	5276268642736
1772646421107647306	16824844080536	5276268653392
1772646421108002691	16824845211512	5276268663752
1772646421108364216	16824846409016	5276268674040
1772646421108732380	16824847639784	5276268685064
1772646421109099658	16824848579492	5276268693648
1772646421109463796	16824849727100	5276268703788
1772646421109829813	16824850991132	5276268714516
1772646421110195541	16824851930840	5276268722952
1772646421110558545	16824852870548	5276268732276
1772646421110922675	16824854093000	5276268742268
1772646421111285887	16824855298820	5276268751000
1772646421111647581	16824856172000	5276268761360
1772646421112010252	16824857427716	5276268772236
1772646421112373971	16824858575324	5276268782080
1772646421112736388	16824859722932	5276268792660
1772646421113098987	16824860920436	5276268803464
1772646421113461942	16824862126256	5276268814416
1772646421113833643	16824863348708	5276268825072
1772646421114196644	16824864579476	5276268836172
1772646421114561612	16824865793612	5276268846756
1772646421114925305	16824866991116	5276268857336
1772646421115290695	16824868180304	5276268868288
1772646421115654694	16824869427704	5276268879464
1772646421116016697	16824870633524	5276268889824
1772646421116379374	16824871864292	5276268900924
1772646421116744454	16824873070112	5276268911876
1772646421117106579	16824874325828	5276268922828
1772646421117472059	16824875569068	5276268933704
1772646421117833961	16824876779048	5276268944212
1772646421118197788	16824877918340	5276268954572
1772646421118562039	16824879107528	5276268965228
1772646421118924648	16824880338296	5276268975736
1772646421119288053	16824881494220	5276268986616
1772646421119653673	16824882691724	5276268997124
1772646421120017357	16824883847648	5276269007556
1772646421120379884	16824885045152	5276269018140
1772646421120746378	16824886234340	5276269028648
1772646421121109627	16824887406896	5276269039376
1772646421121479405	16824888604400	5276269049588
1772646421121841906	16824889776956	5276269060320
1772646421122205725	16824890916248	5276269070088
1772646421122569112	16824892122068	5276269081040
1772646421122935878	16824893294624	5276269091548
1772646421123299942	16824894467180	5276269102056
1772646421123665058	16824895673000	5276269112636
1772646421124027930	16824896920400	5276269123664
1772646421124389538	16824898101272	5276269133948
1772646421124751882	16824899307092	5276269144604
1772646421125116901	16824900504596	5276269155852
1772646421125481479	16824901710416	5276269166952
1772646421125842296	16824902957816	5276269177388
1772646421126205049	16824904196900	5276269188116
1772646421126567435	16824905427668	5276269199216
1772646421126927584	16824906591908	5276269209872
1772646421127289264	16824907760304	5276269220160
1772646421127653040	16824909011864	5276269231480
1772646421128013895	16824910184420	5276269241768
1772646421128379106	16824911406872	5276269252424
1772646421128743214	16824912621008	5276269263300
1772646421129108709	16824913785248	5276269273884
1772646421129470219	16824914991068	5276269284760
1772646421129834890	16824916238468	5276269295936
1772646421130193852	16824917427656	5276269306368
1772646421130566315	16824918666740	5276269317024
1772646421130935281	16824919897508	5276269328420
1772646421131301542	16824921090852	5276269339372
1772646421131664440	16824922300832	5276269349512
1772646421132027237	16824923514968	5276269360612
1772646421132392242	16824924745736	5276269371564
1772646421132756669	16824926059664	5276269382588
1772646421133121504	16824927207272	5276269392580
1772646421133481992	16824928346564	5276269403160
1772646421133842780	16824929494172	5276269413520
1772646421134203061	16824930675044	5276269424104
1772646421134563957	16824931897496	5276269434684
1772646421134922492	16824933045104	5276269445340
1772646421135282014	16824934176080	5276269455036
1772646421135640665	16824935356952	5276269465764
1772646421135998556	16824936596036	5276269476348
1772646421136356425	16824937751960	5276269487004
1772646421136712515	16824938907884	5276269497216
1772646421137030720	16824939922436	5276269506096
1772646421137389087	16824941149044	5276269517196
1772646421137747569	16824942342392	5276269527852
1772646421138102494	16824943490000	5276269537916
1772646421138462138	16824944712452	5276269548868
1772646421138829135	16824945959852	5276269559744
1772646421139194847	16824947124092	5276269570624
1772646421139559819	16824948346544	5276269581428
1772646421139925831	16824949585628	5276269592156
1772646421140289893	16824950766500	5276269603256
1772646421140653859	16824952030532	5276269614208
1772646421141021843	16824953236352	5276269625012
1772646421141385688	16824954413064	5276269635520
1772646421141750899	16824955656308	5276269646548
1772646421142113009	16824956912024	5276269658240
1772646421142478177	16824958234268	5276269669192
1772646421142843437	16824959431772	5276269679996
1772646421143207610	16824960641748	5276269690356
1772646421143571789	16824961818464	5276269701084
1772646421143935081	16824963007652	5276269711668
1772646421144297094	16824964188524	5276269722176
1772646421144660806	16824965377712	5276269732608
1772646421145030154	16824966566900	5276269743264
1772646421145396190	16824967768560	5276269754440
1772646421145759357	16824968986856	5276269764724
1772646421146122940	16824970184360	5276269775676
1772646421146485657	16824971373548	5276269786480
1772646421146847917	16824972587684	5276269796916
1772646421147211350	16824973768556	5276269807200
1772646421147575120	16824974966060	5276269818744
1772646421147937128	16824976171880	5276269828660
1772646421148300319	16824977377700	5276269839392
1772646421148658709	16824978541940	5276269850048
1772646421149020470	16824979772708	5276269860776
1772646421149377626	16824980887052	5276269870620
1772646421149738875	16824982051292	5276269881200
1772646421150097482	16824983215532	5276269891340
1772646421150453571	16824984321560	5276269901404
1772646421150809414	16824985469168	5276269910876
