[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-02 19:37:22 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-02 19:37:22 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:37:32 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.4 tokens/s, Avg generation throughput: 52.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:37:32 [metrics.py:103] KV Transfer metrics: Num successful transfers=6, Avg xfer time (ms)=64.522, P90 xfer time (ms)=114.859, Avg post time (ms)=10.904, P90 post time (ms)=27.08, Avg MB per transfer=1280.0, Throughput (MB/s)=19838.041, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:37:42 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.3 tokens/s, Avg generation throughput: 76.6 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.8%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:37:42 [metrics.py:103] KV Transfer metrics: Num successful transfers=6, Avg xfer time (ms)=32.936, P90 xfer time (ms)=36.171, Avg post time (ms)=1.774, P90 post time (ms)=2.066, Avg MB per transfer=1280.0, Throughput (MB/s)=38863.053, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:37:52 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.2 tokens/s, Avg generation throughput: 75.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:37:52 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=34.659, P90 xfer time (ms)=35.082, Avg post time (ms)=1.647, P90 post time (ms)=1.672, Avg MB per transfer=1280.0, Throughput (MB/s)=36930.712, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:38:02 [loggers.py:257] Engine 000: Avg prompt throughput: 3276.6 tokens/s, Avg generation throughput: 74.3 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.8%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:38:02 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=35.254, P90 xfer time (ms)=35.737, Avg post time (ms)=1.637, P90 post time (ms)=1.654, Avg MB per transfer=1280.0, Throughput (MB/s)=36307.808, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 19:38:12 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.3 tokens/s, Avg generation throughput: 77.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
