[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-02 20:06:21 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-02 20:06:21 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:06:31 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.3 tokens/s, Avg generation throughput: 51.2 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:06:31 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=638.113, P90 xfer time (ms)=819.53, Avg post time (ms)=25.546, P90 post time (ms)=44.736, Avg MB per transfer=1280.0, Throughput (MB/s)=2005.915, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:06:41 [loggers.py:257] Engine 000: Avg prompt throughput: 3276.5 tokens/s, Avg generation throughput: 69.1 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.8%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:06:41 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=432.392, P90 xfer time (ms)=437.815, Avg post time (ms)=2.328, P90 post time (ms)=3.194, Avg MB per transfer=1280.0, Throughput (MB/s)=2960.274, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:06:51 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.3 tokens/s, Avg generation throughput: 76.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:06:51 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=432.309, P90 xfer time (ms)=436.937, Avg post time (ms)=2.004, P90 post time (ms)=2.031, Avg MB per transfer=1280.0, Throughput (MB/s)=2960.843, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:07:01 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.2 tokens/s, Avg generation throughput: 63.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:07:01 [metrics.py:103] KV Transfer metrics: Num successful transfers=6, Avg xfer time (ms)=430.53, P90 xfer time (ms)=436.314, Avg post time (ms)=1.993, P90 post time (ms)=2.01, Avg MB per transfer=1280.0, Throughput (MB/s)=2973.079, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:07:11 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.4 tokens/s, Avg generation throughput: 72.4 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.8%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:07:11 [metrics.py:103] KV Transfer metrics: Num successful transfers=6, Avg xfer time (ms)=435.031, P90 xfer time (ms)=439.215, Avg post time (ms)=2.181, P90 post time (ms)=2.528, Avg MB per transfer=1280.0, Throughput (MB/s)=2942.32, Avg number of descriptors=81920.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 20:07:21 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.3 tokens/s, Avg generation throughput: 71.7 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
