[0;36m(Worker_TP1 pid=709)[0;0m INFO 02-28 03:03:32 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP0 pid=708)[0;0m INFO 02-28 03:03:32 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:03:42 [loggers.py:257] Engine 000: Avg prompt throughput: 25.6 tokens/s, Avg generation throughput: 36.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:03:42 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=25.295, P90 xfer time (ms)=27.329, Avg post time (ms)=11.727, P90 post time (ms)=14.538, Avg MB per transfer=20.0, Throughput (MB/s)=790.662, Avg number of descriptors=1280.0
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:03:52 [loggers.py:257] Engine 000: Avg prompt throughput: 25.6 tokens/s, Avg generation throughput: 59.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:03:52 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=16.025, P90 xfer time (ms)=16.207, Avg post time (ms)=0.339, P90 post time (ms)=0.375, Avg MB per transfer=20.0, Throughput (MB/s)=1248.069, Avg number of descriptors=1280.0
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:04:02 [loggers.py:257] Engine 000: Avg prompt throughput: 38.4 tokens/s, Avg generation throughput: 59.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:04:02 [metrics.py:103] KV Transfer metrics: Num successful transfers=6, Avg xfer time (ms)=15.386, P90 xfer time (ms)=16.982, Avg post time (ms)=0.336, P90 post time (ms)=0.386, Avg MB per transfer=20.0, Throughput (MB/s)=1299.911, Avg number of descriptors=1280.0
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:04:12 [loggers.py:257] Engine 000: Avg prompt throughput: 25.6 tokens/s, Avg generation throughput: 59.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:04:12 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=15.881, P90 xfer time (ms)=16.323, Avg post time (ms)=0.332, P90 post time (ms)=0.37, Avg MB per transfer=20.0, Throughput (MB/s)=1259.386, Avg number of descriptors=1280.0
[0;36m(APIServer pid=1)[0;0m INFO 02-28 03:04:22 [loggers.py:257] Engine 000: Avg prompt throughput: 25.6 tokens/s, Avg generation throughput: 59.2 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
