[0;36m(Worker_TP0 pid=708)[0;0m INFO 02-28 23:39:08 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP1 pid=709)[0;0m INFO 02-28 23:39:08 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:39:20 [loggers.py:257] Engine 000: Avg prompt throughput: 38.4 tokens/s, Avg generation throughput: 53.6 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:39:20 [metrics.py:103] KV Transfer metrics: Num successful transfers=6, Avg xfer time (ms)=14.65, P90 xfer time (ms)=18.171, Avg post time (ms)=7.281, P90 post time (ms)=11.662, Avg MB per transfer=20.0, Throughput (MB/s)=1365.172, Avg number of descriptors=1280.0
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:39:30 [loggers.py:257] Engine 000: Avg prompt throughput: 25.6 tokens/s, Avg generation throughput: 58.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:39:30 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=8.481, P90 xfer time (ms)=8.539, Avg post time (ms)=0.619, P90 post time (ms)=0.658, Avg MB per transfer=20.0, Throughput (MB/s)=2358.073, Avg number of descriptors=1280.0
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:39:40 [loggers.py:257] Engine 000: Avg prompt throughput: 25.6 tokens/s, Avg generation throughput: 58.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:39:40 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=9.002, P90 xfer time (ms)=9.635, Avg post time (ms)=0.62, P90 post time (ms)=0.651, Avg MB per transfer=20.0, Throughput (MB/s)=2221.79, Avg number of descriptors=1280.0
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:39:50 [loggers.py:257] Engine 000: Avg prompt throughput: 25.6 tokens/s, Avg generation throughput: 57.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:39:50 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=7.741, P90 xfer time (ms)=8.415, Avg post time (ms)=0.608, P90 post time (ms)=0.642, Avg MB per transfer=20.0, Throughput (MB/s)=2583.562, Avg number of descriptors=1280.0
[0;36m(APIServer pid=1)[0;0m INFO 02-28 23:40:00 [loggers.py:257] Engine 000: Avg prompt throughput: 38.4 tokens/s, Avg generation throughput: 57.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
