[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-02 04:02:13 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-02 04:02:13 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:02:26 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.7 tokens/s, Avg generation throughput: 115.8 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:02:26 [metrics.py:103] KV Transfer metrics: Num successful transfers=12, Avg xfer time (ms)=72.03, P90 xfer time (ms)=136.395, Avg post time (ms)=5.525, P90 post time (ms)=22.155, Avg MB per transfer=640.0, Throughput (MB/s)=8885.248, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:02:36 [loggers.py:257] Engine 000: Avg prompt throughput: 2047.6 tokens/s, Avg generation throughput: 127.7 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:02:36 [metrics.py:103] KV Transfer metrics: Num successful transfers=10, Avg xfer time (ms)=17.043, P90 xfer time (ms)=18.027, Avg post time (ms)=0.961, P90 post time (ms)=1.012, Avg MB per transfer=640.0, Throughput (MB/s)=37551.413, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:02:46 [loggers.py:257] Engine 000: Avg prompt throughput: 2047.8 tokens/s, Avg generation throughput: 136.1 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:02:46 [metrics.py:103] KV Transfer metrics: Num successful transfers=10, Avg xfer time (ms)=17.93, P90 xfer time (ms)=19.612, Avg post time (ms)=0.948, P90 post time (ms)=0.985, Avg MB per transfer=640.0, Throughput (MB/s)=35694.566, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:02:56 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.2 tokens/s, Avg generation throughput: 122.5 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:02:56 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=18.282, P90 xfer time (ms)=19.565, Avg post time (ms)=1.131, P90 post time (ms)=1.551, Avg MB per transfer=640.0, Throughput (MB/s)=35006.632, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 04:03:06 [loggers.py:257] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 9.9 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
