[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-02 13:38:50 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-02 13:38:50 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:38:56 [loggers.py:257] Engine 000: Avg prompt throughput: 1228.8 tokens/s, Avg generation throughput: 32.4 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:38:56 [metrics.py:103] KV Transfer metrics: Num successful transfers=6, Avg xfer time (ms)=231.741, P90 xfer time (ms)=333.589, Avg post time (ms)=12.842, P90 post time (ms)=31.619, Avg MB per transfer=640.0, Throughput (MB/s)=2761.704, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:06 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.2 tokens/s, Avg generation throughput: 121.3 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:06 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=266.776, P90 xfer time (ms)=426.834, Avg post time (ms)=1.12, P90 post time (ms)=1.239, Avg MB per transfer=640.0, Throughput (MB/s)=2399.014, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:16 [loggers.py:257] Engine 000: Avg prompt throughput: 2047.8 tokens/s, Avg generation throughput: 128.6 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:16 [metrics.py:103] KV Transfer metrics: Num successful transfers=10, Avg xfer time (ms)=215.962, P90 xfer time (ms)=220.239, Avg post time (ms)=1.159, P90 post time (ms)=1.231, Avg MB per transfer=640.0, Throughput (MB/s)=2963.479, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:26 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.4 tokens/s, Avg generation throughput: 126.3 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.3%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:26 [metrics.py:103] KV Transfer metrics: Num successful transfers=12, Avg xfer time (ms)=217.747, P90 xfer time (ms)=222.134, Avg post time (ms)=1.22, P90 post time (ms)=1.283, Avg MB per transfer=640.0, Throughput (MB/s)=2939.188, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:36 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 103.4 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:36 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=215.358, P90 xfer time (ms)=220.47, Avg post time (ms)=1.16, P90 post time (ms)=1.239, Avg MB per transfer=640.0, Throughput (MB/s)=2971.792, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:46 [loggers.py:257] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:56 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.3 tokens/s, Avg generation throughput: 77.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:39:56 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=263.98, P90 xfer time (ms)=421.377, Avg post time (ms)=1.081, P90 post time (ms)=1.258, Avg MB per transfer=640.0, Throughput (MB/s)=2424.427, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:06 [loggers.py:257] Engine 000: Avg prompt throughput: 2048.0 tokens/s, Avg generation throughput: 130.8 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:06 [metrics.py:103] KV Transfer metrics: Num successful transfers=10, Avg xfer time (ms)=215.698, P90 xfer time (ms)=221.823, Avg post time (ms)=1.166, P90 post time (ms)=1.24, Avg MB per transfer=640.0, Throughput (MB/s)=2967.106, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:16 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.5 tokens/s, Avg generation throughput: 125.7 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:16 [metrics.py:103] KV Transfer metrics: Num successful transfers=12, Avg xfer time (ms)=215.956, P90 xfer time (ms)=221.835, Avg post time (ms)=1.162, P90 post time (ms)=1.236, Avg MB per transfer=640.0, Throughput (MB/s)=2963.562, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:26 [loggers.py:257] Engine 000: Avg prompt throughput: 1637.8 tokens/s, Avg generation throughput: 130.5 tokens/s, Running: 1 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:26 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=216.445, P90 xfer time (ms)=223.53, Avg post time (ms)=1.189, P90 post time (ms)=1.271, Avg MB per transfer=640.0, Throughput (MB/s)=2956.873, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:36 [loggers.py:257] Engine 000: Avg prompt throughput: 2048.0 tokens/s, Avg generation throughput: 135.0 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:36 [metrics.py:103] KV Transfer metrics: Num successful transfers=10, Avg xfer time (ms)=216.788, P90 xfer time (ms)=221.953, Avg post time (ms)=1.161, P90 post time (ms)=1.225, Avg MB per transfer=640.0, Throughput (MB/s)=2952.198, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:46 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.3 tokens/s, Avg generation throughput: 124.7 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:46 [metrics.py:103] KV Transfer metrics: Num successful transfers=12, Avg xfer time (ms)=217.868, P90 xfer time (ms)=223.073, Avg post time (ms)=1.16, P90 post time (ms)=1.226, Avg MB per transfer=640.0, Throughput (MB/s)=2937.561, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:56 [loggers.py:257] Engine 000: Avg prompt throughput: 2047.9 tokens/s, Avg generation throughput: 127.7 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:40:56 [metrics.py:103] KV Transfer metrics: Num successful transfers=10, Avg xfer time (ms)=217.129, P90 xfer time (ms)=222.356, Avg post time (ms)=1.164, P90 post time (ms)=1.232, Avg MB per transfer=640.0, Throughput (MB/s)=2947.559, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:06 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.4 tokens/s, Avg generation throughput: 136.1 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:06 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=219.278, P90 xfer time (ms)=223.37, Avg post time (ms)=1.16, P90 post time (ms)=1.219, Avg MB per transfer=640.0, Throughput (MB/s)=2918.663, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:16 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.3 tokens/s, Avg generation throughput: 126.6 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:16 [metrics.py:103] KV Transfer metrics: Num successful transfers=12, Avg xfer time (ms)=217.335, P90 xfer time (ms)=222.381, Avg post time (ms)=1.162, P90 post time (ms)=1.24, Avg MB per transfer=640.0, Throughput (MB/s)=2944.759, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:26 [loggers.py:257] Engine 000: Avg prompt throughput: 2047.7 tokens/s, Avg generation throughput: 126.2 tokens/s, Running: 2 reqs, Waiting: 1 reqs, GPU KV cache usage: 1.3%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:26 [metrics.py:103] KV Transfer metrics: Num successful transfers=10, Avg xfer time (ms)=217.068, P90 xfer time (ms)=221.534, Avg post time (ms)=1.178, P90 post time (ms)=1.264, Avg MB per transfer=640.0, Throughput (MB/s)=2948.382, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:36 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.2 tokens/s, Avg generation throughput: 135.5 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:36 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=220.095, P90 xfer time (ms)=223.209, Avg post time (ms)=1.159, P90 post time (ms)=1.226, Avg MB per transfer=640.0, Throughput (MB/s)=2907.834, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:46 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.5 tokens/s, Avg generation throughput: 128.2 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:46 [metrics.py:103] KV Transfer metrics: Num successful transfers=12, Avg xfer time (ms)=218.378, P90 xfer time (ms)=223.027, Avg post time (ms)=1.161, P90 post time (ms)=1.233, Avg MB per transfer=640.0, Throughput (MB/s)=2930.694, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:56 [loggers.py:257] Engine 000: Avg prompt throughput: 2457.3 tokens/s, Avg generation throughput: 125.0 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.3%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:41:56 [metrics.py:103] KV Transfer metrics: Num successful transfers=12, Avg xfer time (ms)=218.769, P90 xfer time (ms)=221.845, Avg post time (ms)=1.161, P90 post time (ms)=1.242, Avg MB per transfer=640.0, Throughput (MB/s)=2925.467, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:42:06 [loggers.py:257] Engine 000: Avg prompt throughput: 1638.3 tokens/s, Avg generation throughput: 134.1 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.9%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:42:06 [metrics.py:103] KV Transfer metrics: Num successful transfers=8, Avg xfer time (ms)=217.374, P90 xfer time (ms)=220.09, Avg post time (ms)=1.168, P90 post time (ms)=1.236, Avg MB per transfer=640.0, Throughput (MB/s)=2944.233, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:42:16 [loggers.py:257] Engine 000: Avg prompt throughput: 2048.0 tokens/s, Avg generation throughput: 131.3 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-02 13:42:16 [metrics.py:103] KV Transfer metrics: Num successful transfers=10, Avg xfer time (ms)=218.714, P90 xfer time (ms)=221.56, Avg post time (ms)=1.157, P90 post time (ms)=1.231, Avg MB per transfer=640.0, Throughput (MB/s)=2926.191, Avg number of descriptors=40960.0
