timestamp	tx_byte_counter	rx_byte_counter
1772680715971327236	79791615884	6229023195108
1772680715971503518	79791615884	6229023701012
1772680715971687933	79791615884	6229023782368
1772680715972263993	79791615884	6229023782368
1772680715972965285	79791615884	6229023782368
1772680715973682077	79791615884	6229023782368
1772680715974434012	79791615884	6229023782368
1772680715975209721	79791615884	6229023782368
1772680715975988152	79791615884	6229023782368
1772680715976782308	79791615884	6229023794988
1772680715977543965	79791615884	6229023794988
1772680715978324529	79791615884	6229023794988
1772680715979083926	79791615884	6229023794988
1772680715979866919	79791615884	6229023794988
1772680715980636437	79791615884	6229023794988
1772680715981412705	79791615884	6229023794988
1772680715982169280	79791615884	6229023794988
1772680715982925839	79791615884	6229023794988
1772680715983689023	79791615884	6229024483264
1772680715984430215	79791615884	6229025302956
1772680715985189352	79791615884	6229026204460
1772680715985974648	79791615884	6229026875720
1772680715986745478	79791615884	6229027701848
1772680715987493748	79791615884	6229028595984
1772680715988246114	79791615884	6229029227232
1772680715989023397	79791615884	6229030108240
1772680715989806246	79791615884	6229031015976
1772680715990566437	79791615884	6229031636732
1772680715991316914	79791615884	6229032509648
1772680715992099671	79791615884	6229033374976
1772680715992865334	79791615884	6229033915844
1772680715993640720	79791615884	6229034710200
1772680715994416136	79791615884	6229035302296
1772680715995186695	79791615884	6229036080836
1772680715995963737	79791615884	6229036911432
1772680715996732935	79791615884	6229037519080
1772680715997505733	79791615884	6229038310180
1772680715998279493	79791615884	6229039175756
1772680715999051127	79791615884	6229039763428
1772680715999825026	79791615884	6229040591064
1772680716000578010	79791615884	6229041409716
1772680716001372312	79791615884	6229041996944
1772680716002131111	79791615884	6229042753628
1772680716002891817	79791615884	6229043673452
1772680716003653177	79791615884	6229044258668
1772680716004409685	79791615884	6229045200864
1772680716005193938	79791615884	6229046145280
1772680716005962144	79791615884	6229046767176
1772680716006702948	79791615884	6229047740192
1772680716007447314	79791615884	6229048650324
1772680716008205677	79791615884	6229049334072
1772680716008987516	79791615884	6229050286224
1772680716009766440	79791615884	6229051130492
1772680716010549953	79791615884	6229051763900
1772680716011299938	79791615884	6229052113160
1772680716012061362	79791615884	6229052113160
1772680716012828966	79791615884	6229052113160
1772680716013598366	79791615884	6229052113160
1772680716014374298	79791615884	6229052113160
1772680716015144466	79791615884	6229052113160
1772680716015921282	79791615884	6229052113160
1772680716016701790	79791615884	6229052113160
1772680716017478657	79791615884	6229052113160
1772680716018247771	79791615884	6229052113160
1772680716019006103	79791615884	6229052113160
1772680716019797572	79791615884	6229052113160
1772680716020596057	79791615884	6229052113160
1772680716021359690	79791615884	6229052113160
1772680716022141448	79791615884	6229052113160
1772680716022916905	79791615884	6229052113160
1772680716023688421	79791615884	6229052113160
1772680716024479887	79791615884	6229052113160
1772680716025252364	79791615884	6229052113160
1772680716026006976	79791615884	6229052113160
1772680716026775087	79791615884	6229052113160
1772680716029872601	79791615884	6229052113160
1772680716030642958	79791615884	6229052508672
1772680716031429340	79791615884	6229052961660
1772680716032161981	79791615884	6229053004792
1772680716032970957	79791615884	6229053004792
1772680716033725172	79791615884	6229053004792
1772680716034464947	79791615884	6229053120388
1772680716035253568	79791615884	6229053150828
1772680716036028527	79791615884	6229053168644
1772680716036789249	79791615884	6229053225436
1772680716037564482	79791615884	6229053254008
1772680716038341788	79791615884	6229053294984
1772680716039132628	79791615884	6229053331800
1772680716039870739	79791615884	6229053362088
1772680716040638193	79791615884	6229053397944
1772680716041403094	79791615884	6229053414576
1772680716042172411	79791615884	6229053414576
1772680716042917991	79791615884	6229053414576
1772680716043678704	79791615884	6229053525940
1772680716044458334	79791615884	6229053558596
1772680716045247332	79791615884	6229053593044
1772680716046002190	79791615884	6229053628824
1772680716046760697	79791615884	6229053649616
1772680716047549140	79791615884	6229053649616
1772680716048308109	79791615884	6229053659116
1772680716049092927	79791615884	6229053756748
1772680716049860176	79791615884	6229053797720
1772680716050644900	79791615884	6229053830528
1772680716051409461	79791615884	6229053868600
1772680716052169953	79791615884	6229053904308
1772680716052962300	79791615884	6229053942528
1772680716053716026	79791615884	6229053974004
1772680716054487874	79791615884	6229054004292
1772680716055236321	79791615884	6229054038740
1772680716055989133	79791615884	6229054070436
1772680716056723693	79791615884	6229054106068
1772680716057466982	79791615884	6229054118544
1772680716058224507	79791615884	6229054118544
1772680716058999988	79791615884	6229054161676
1772680716059751622	79791615884	6229054234064
1772680716060513335	79791615884	6229054267908
1772680716061249491	79791615884	6229054304944
1772680716062010913	79791615884	6229054341836
1772680716062777954	79791615884	6229054374568
1772680716063549294	79791615884	6229054411456
1772680716064306343	79791615884	6229054448348
1772680716065050782	79791615884	6229054481228
1772680716065822123	79791615884	6229054512776
1772680716066555725	79791615884	6229054543288
1772680716067274307	79791615884	6229054579068
1772680716068019519	79791615884	6229054620840
1772680716068792174	79791615884	6229054655940
1772680716069550463	79791615884	6229054698320
1772680716070302139	79791615884	6229054732164
1772680716071055144	79791615884	6229054770844
1772680716071811678	79791615884	6229054792892
1772680716072577235	79791615884	6229054836232
1772680716073351388	79791615884	6229054866064
1772680716074089018	79791615884	6229054898872
1772680716074852000	79791615884	6229054941252
1772680716075583717	79791615884	6229054974056
1772680716076349466	79791615884	6229055017548
1772680716077120687	79791615884	6229055049244
1772680716077867439	79791615884	6229055086208
1772680716078632968	79791615884	6229055112488
1772680716079392930	79791615884	6229055143000
1772680716080147212	79791615884	6229055177668
1772680716080903774	79791615884	6229055217608
1772680716081674240	79791615884	6229055249228
1772680716082452483	79791615884	6229055285008
1772680716083185239	79791615884	6229055319680
1772680716083948800	79791615884	6229055349080
1772680716084713979	79791615884	6229055383752
1772680716085466861	79791615884	6229055418496
1772680716086235142	79791615884	6229055441728
1772680716086995078	79791615884	6229055481812
1772680716087767131	79791615884	6229055518776
1772680716088524211	79791615884	6229055552264
1772680716089283976	79791615884	6229055589080
1772680716090047947	79791615884	6229055610092
1772680716090798090	79791615884	6229055653580
1772680716091539947	79791615884	6229055697144
1772680716092291201	79791615884	6229055725792
1772680716093043650	79791615884	6229055754516
1772680716093816796	79791615884	6229055792812
1772680716094581718	79791615884	6229055838240
1772680716095334285	79791615884	6229055868220
1772680716096108731	79791615884	6229055898124
1772680716096912874	79791615884	6229055941764
1772680716097652404	79791615884	6229055971668
1772680716098404909	79791615884	6229056013012
1772680716099174515	79791615884	6229056042920
1772680716099922517	79791615884	6229056075192
1772680716100688090	79791615884	6229056091292
1772680716101468832	79791615884	6229056125432
1772680716102215751	79791615884	6229056167884
1772680716102949491	79791615884	6229056184060
1772680716103711862	79791615884	6229056210412
1772680716104458123	79791615884	6229056241504
1772680716105197594	79791615884	6229056326512
1772680716105944914	79791615884	6229056372620
1772680716106702115	79791615884	6229056408328
1772680716107455586	79791615884	6229056444612
1772680716108207571	79791615884	6229056473332
1772680716108949999	79791615884	6229056516896
1772680716109723592	79791615884	6229056554084
1772680716110502901	79791615884	6229056586888
1772680716111271974	79791615884	6229056623928
1772680716112014661	79791615884	6229056652648
1772680716112771945	79791615884	6229056695028
1772680716113523992	79791615884	6229056724936
1772680716114272657	79791615884	6229056761972
1772680716115016283	79791615884	6229056794928
1772680716115769610	79791615884	6229056835976
1772680716116540473	79791615884	6229056870188
1772680716117272016	79791615884	6229056908260
1772680716118008623	79791615884	6229056942324
1772680716118785490	79791615884	6229056968680
1772680716119544887	79791615884	6229057016328
1772680716120307552	79791615884	6229057042680
1772680716121046172	79791615884	6229057079720
1772680716121786160	79791615884	6229057108440
1772680716122537081	79791615884	6229057149564
1772680716123306208	79791615884	6229057175768
1772680716124050221	79791615884	6229057209760
1772680716124814575	79791615884	6229057253928
1772680716125562030	79791615884	6229057281320
1772680716126317853	79791615884	6229057321332
1772680716127087180	79791615884	6229057353100
1772680716127827831	79791615884	6229057395480
1772680716128581574	79791615884	6229057414556
1772680716129355278	79791615884	6229057466004
1772680716130090067	79791615884	6229057494728
1772680716130854075	79791615884	6229057513800
1772680716131612377	79791615884	6229057561092
1772680716132357618	79791615884	6229057577268
1772680716133128854	79791615884	6229057603548
1772680716133894171	79791615884	6229057643708
1772680716134649419	79791615884	6229057647260
1772680716135418602	79791615884	6229057716672
1772680716136181426	79791615884	6229057732772
1772680716136922078	79791615884	6229057785628
1772680716137689030	79791615884	6229057811984
1772680716138438230	79791615884	6229057851996
1772680716139201686	79791615884	6229057903592
1772680716139945940	79791615884	6229057922816
1772680716140701063	79791615884	6229057961644
1772680716141461202	79791615884	6229057991400
1772680716142224657	79791615884	6229058029268
1772680716142983413	79791615884	6229058057988
1772680716143734827	79791615884	6229058105280
1772680716144483315	79791615884	6229058118568
1772680716145263417	79791615884	6229058172756
1772680716146025106	79791615884	6229058187748
1772680716146774471	79791615884	6229058233928
1772680716147523709	79791615884	6229058248844
1772680716148287808	79791615884	6229058301404
1772680716149051552	79791615884	6229058316396
1772680716149805673	79791615884	6229058366736
1772680716150551240	79791615884	6229058382836
1772680716151321327	79791615884	6229058435544
1772680716152082320	79791615884	6229058468496
1772680716152824915	79791615884	6229058515788
1772680716153581918	79791615884	6229058529520
1772680716154338213	79791615884	6229058583192
1772680716155095117	79791615884	6229058607828
1772680716155846495	79791615884	6229058634108
1772680716156578799	79791615884	6229058669964
1772680716157341158	79791615884	6229058689112
1772680716158097955	79791615884	6229058743536
1772680716158837680	79791615884	6229058744276
1772680716159612777	79791615884	6229058807384
1772680716160365279	79791615884	6229058824536
1772680716161125812	79791615884	6229058862548
1772680716161887215	79791615884	6229058892248
1772680716162635903	79791615884	6229058917860
1772680716163363982	79791615884	6229058947412
1772680716164117724	79791615884	6229058964560
1772680716164861616	79791615884	6229059010892
1772680716165606533	79791615884	6229059011484
1772680716166367082	79791615884	6229059082688
1772680716167136129	79791615884	6229059083352
1772680716167895186	79791615884	6229059150472
1772680716168645765	79791615884	6229059151140
1772680716169406126	79791615884	6229059201616
1772680716170136566	79791615884	6229059218320
1772680716170880198	79791615884	6229059219284
1772680716171629463	79791615884	6229059286256
1772680716171867241	79791615884	6229059286256
1772680716172041184	79791615884	6229059286624
1772680716172216509	79791615884	6229059286624
1772680716172390438	79791615884	6229059286848
1772680716172561763	79791615884	6229059286848
1772680716172735113	79791615884	6229059286848
1772680716172904453	79791615884	6229059287216
1772680716173076656	79791615884	6229059312240
1772680716173248845	79791615884	6229059329020
1772680716173420490	79791615884	6229059341492
1772680716173596212	79791615884	6229059358272
1772680716173770491	79791615884	6229059358272
1772680716173943800	79791615884	6229059358272
1772680716174115710	79791615884	6229059358864
1772680716174285615	79791615884	6229059358864
1772680716174459321	79791615884	6229059359088
1772680716174632706	79791615884	6229059359088
1772680716174807571	79791615884	6229059363308
1772680716174981255	79791615884	6229059388624
1772680716175156185	79791615884	6229059388624
1772680716175325919	79791615884	6229059397016
1772680716175494648	79791615884	6229059401248
1772680716175665572	79791615884	6229059401248
1772680716175838163	79791615884	6229059413868
1772680716176010282	79791615884	6229059413868
1772680716176182441	79791615884	6229059413868
1772680716176350991	79791615884	6229059414536
1772680716176522546	79791615884	6229059414684
1772680716176687696	79791615884	6229059439704
1772680716176853598	79791615884	6229059439704
1772680716177019704	79791615884	6229059456412
1772680716177185921	79791615884	6229059460940
1772680716177358007	79791615884	6229059460940
1772680716177529695	79791615884	6229059469612
1772680716177703217	79791615884	6229059469612
1772680716177876487	79791615884	6229059469612
1772680716178049829	79791615884	6229059469612
1772680716178224299	79791615884	6229059469612
1772680716178397122	79791615884	6229059482740
1772680716178569780	79791615884	6229059482888
1772680716178744387	79791615884	6229059495512
1772680716178916307	79791615884	6229059495512
1772680716179088998	79791615884	6229059495512
1772680716179260736	79791615884	6229059508428
1772680716179429657	79791615884	6229059512588
1772680716179603299	79791615884	6229059512588
1772680716179776641	79791615884	6229059512588
1772680716179955901	79791615884	6229059512588
1772680716180131293	79791615884	6229059525136
1772680716180303440	79791615884	6229059525136
1772680716180475441	79791615884	6229059538424
1772680716180647121	79791615884	6229059538424
1772680716180820319	79791615884	6229059538572
1772680716180992964	79791615884	6229059538572
1772680716181160988	79791615884	6229059538572
1772680716181331848	79791615884	6229059543248
1772680716181503198	79791615884	6229059547404
1772680716181669919	79791615884	6229059568416
1772680716181838682	79791615884	6229059581040
1772680716182008513	79791615884	6229059593796
