timestamp	tx_byte_counter	rx_byte_counter
1772681389670850151	28038948716008	20460443444660
1772681389671049244	28038948716008	20460443445372
1772681389671258773	28038948716152	20460443445372
1772681389671465978	28038948716152	20460443445372
1772681389671669077	28038948716152	20460443445372
1772681389671871945	28038948716152	20460443445372
1772681389672074470	28038948716152	20460443445372
1772681389672277033	28038948716152	20460443445372
1772681389672477698	28038948716152	20460443445372
1772681389672681322	28038948716152	20460443445372
1772681389672896091	28038948716152	20460443445372
1772681389673111546	28038948716152	20460443445372
1772681389673334320	28038948716152	20460443445372
1772681389673542379	28038948716152	20460443445372
1772681389673745354	28038948716152	20460443445372
1772681389673948578	28038948716152	20460443445372
1772681389674151611	28038948716152	20460443445372
1772681389674347701	28038948716152	20460443445372
1772681389674543588	28038948716152	20460443445372
1772681389674738656	28038948716152	20460443445372
1772681389674941611	28038948716152	20460443445372
1772681389675150391	28038948716152	20460443445372
1772681389675359792	28038948716152	20460443445372
1772681389692025873	28038948716152	20460443445372
1772681389692223885	28038948716224	20460443445888
1772681389692420993	28038948716224	20460443445888
1772681389692620241	28038948716224	20460443445888
1772681389692829793	28038948716224	20460443445888
1772681389693041295	28038948716224	20460443445888
1772681389693244203	28038948716224	20460443445888
1772681389693448222	28038948716224	20460443445888
1772681389693651683	28038948716224	20460443445888
1772681389693854067	28038948716224	20460443445888
1772681389694057222	28038948716224	20460443445888
1772681389694259798	28038948716224	20460443445888
1772681389694460725	28038948716224	20460443445888
1772681389694661328	28038948716224	20460443445888
1772681389694865821	28038948716224	20460443445888
1772681389695068429	28038948716224	20460443445888
1772681389695267096	28038948716224	20460443445888
1772681389695468485	28038948716224	20460443445888
1772681389695672049	28038948716224	20460443445888
1772681389695874550	28038948716224	20460443445888
1772681389696084091	28038948716224	20460443445888
1772681389696290083	28038948716224	20460443445888
1772681389729701434	28038948716224	20460443445888
1772681389729908882	28038948716224	20460443446184
1772681389730117771	28038948716224	20460443446184
1772681389730331981	28038948716224	20460443446184
1772681389730539241	28038948716224	20460443446184
1772681389730754871	28038948716224	20460443446184
1772681389730964481	28038948716224	20460443446184
1772681389731171391	28038948716224	20460443446184
1772681389731377606	28038948716224	20460443446184
1772681389731588983	28038948716224	20460443446184
1772681389731795797	28038948716224	20460443446184
1772681389732004590	28038948716224	20460443446184
1772681389732214887	28038948716224	20460443446184
1772681389732419667	28038948716224	20460443446184
1772681389732627854	28038948716224	20460443446184
1772681389732836638	28038948716224	20460443446184
1772681389733038452	28038948716224	20460443446184
1772681389733247636	28038948716224	20460443446184
1772681389733458846	28038948716224	20460443446184
1772681389733668760	28038948716224	20460443446184
1772681389733872661	28038948716224	20460443446184
1772681389734079960	28038948716224	20460443446184
1772681389775334195	28038948716224	20460443446184
1772681389775540888	28038948716224	20460443446480
1772681389775755598	28038948716224	20460443446480
1772681389775965270	28038948716224	20460443446480
1772681389776175210	28038948716224	20460443446480
1772681389776385037	28038948716224	20460443446480
1772681389776587980	28038948716224	20460443446480
1772681389776797807	28038948716224	20460443446480
1772681389777004308	28038948716224	20460443446480
1772681389777212395	28038948716224	20460443446480
1772681389777421107	28038948716224	20460443446480
1772681389777625801	28038948716224	20460443446480
1772681389777828257	28038948716224	20460443446480
1772681389778030775	28038948716224	20460443446480
1772681389778233524	28038948716224	20460443446480
1772681389778438892	28038948716224	20460443446480
1772681389778644327	28038948716224	20460443446480
1772681389778846388	28038948716224	20460443446480
1772681389779047712	28038948716224	20460443446480
1772681389779253517	28038948716224	20460443446480
1772681389779456701	28038948716224	20460443446480
1772681389779660242	28038948716224	20460443446480
1772681404549734888	28038948716224	20460443446480
1772681404549938617	28038948716224	20460444103444
1772681404550137120	28038948742420	20460447712588
1772681404550354673	28038948780088	20460451201152
1772681404551123112	28038948803916	20460453924640
1772681404551876238	28038948828260	20460456689852
1772681404552613125	28038948853680	20460459318560
1772681404553421681	28038948876832	20460461963192
1772681404554206776	28038948900808	20460464611836
1772681404555132765	28038948923452	20460467206428
