timestamp	tx_byte_counter	rx_byte_counter
1772682053241904270	79791615884	6229064954772
1772682053242083326	79791615884	6229065220756
1772682053242253666	79791624692	6229068238012
1772682053242427031	79791638232	6229071305140
1772682053242599869	79791651848	6229074289148
1772682053242766758	79791664948	6229077223284
1772682053242937383	79791678340	6229080298724
1772682053243110146	79791691956	6229083307668
1772682053243282548	79791705276	6229086341548
1772682053243455844	79791718892	6229089425300
1772682053243629677	79791732656	6229092467492
1772682053243803356	79791746200	6229095530468
1772682053243976639	79791759592	6229098551876
1772682053244148569	79791773136	6229101552508
1772682053244322038	79791786676	6229104598856
1772682053244491931	79791799776	6229107512212
1772682053244661718	79791813244	6229110571028
1772682053244835890	79791826488	6229113579972
1772682053245008184	79791840104	6229116588916
1772682053245180846	79791853500	6229119593704
1772682053245352897	79791866820	6229122640052
1772682053245524949	79791880288	6229125644840
1772682053245697513	79791893532	6229128325460
1772682053245869375	79791899156	6229129588884
1772682053246041763	79791911440	6229132680948
1772682053246216520	79791925280	6229135743924
1772682053246386279	79791938524	6229138769492
1772682053246663957	79791951992	6229141695316
1772682053246833960	79791960356	6229142788340
1772682053247006861	79791970344	6229145892872
1772682053247180849	79791984108	6229148989092
1772682053247354698	79791997872	6229152214148
1772682053247640802	79792012080	6229155272964
1772682053247813042	79792025696	6229158348404
1772682053247984015	79792039460	6229161390596
1772682053248153241	79792052856	6229164395384
1772682053248323758	79792066248	6229167425108
1772682053248495195	79792079940	6229170517172
1772682053248667070	79792093628	6229173563524
1772682053248839185	79792107172	6229176680520
1772682053249012954	79792120936	6229179726868
1772682053249185822	79792134700	6229182814776
1772682053249359095	79792148464	6229185944244
1772682053249532428	79792162228	6229188986436
1772682053249705567	79792175916	6229191995380
1772682053249874910	79792189312	6229195037572
1772682053250045149	79792202928	6229198129636
1772682053250217718	79792216320	6229201171828
1772682053250390087	79792230160	6229204263892
1772682053250563819	79792243776	6229207322708
1772682053250736968	79792257612	6229210460488
1772682053250910500	79792271452	6229213556708
1772682053251085113	79792285288	6229216652932
1772682053251258554	79792298904	6229219657716
1772682053251424487	79792312152	6229222633412
1772682053251595113	79792325692	6229225725476
1772682053251768511	79792339384	6229228734420
1772682053251938084	79792352704	6229231809860
1772682053252110975	79792366320	6229234835428
1772682053252283429	79792380084	6229237927492
1772682053252456053	79792393700	6229240969684
1772682053252628544	79792407240	6229243962004
1772682053252794531	79792420488	6229247020820
1772682053252967526	79792434176	6229250096260
1772682053253138365	79792447720	6229253188324
1772682053253311685	79792461632	6229256263764
1772682053253484862	79792475248	6229259314268
1772682053253657586	79792489012	6229262414644
1772682053253829564	79792502776	6229265490084
1772682053254002855	79792516540	6229268582148
1772682053254176391	79792530228	6229271678372
1772682053254349240	79792543992	6229274762120
1772682053254522376	79792557608	6229277841716
1772682053254695563	79792571520	6229280904692
1772682053254868509	79792585064	6229284025844
1772682053255041977	79792598752	6229287068036
1772682053255215075	79792612516	6229290193348
1772682053255390693	79792626724	6229293343596
1772682053255570221	79792640488	6229296493844
1772682053255745239	79792654400	6229299602532
1772682053255919384	79792668312	6229302694596
1772682053256094364	79792682372	6229305849000
1772682053256266986	79792695916	6229308862100
1772682053256440808	79792709532	6229311954164
1772682053256613772	79792723368	6229315062852
1772682053256785347	79792736984	6229318088420
1772682053256958176	79792750600	6229321226200
1772682053257132385	79792764364	6229324222676
1772682053257299841	79792777536	6229327181748
1772682053257468673	79792791080	6229330273812
1772682053257641452	79792804768	6229333382500
1772682053257815030	79792818680	6229336491188
1772682053257989121	79792832520	6229339616500
1772682053258162429	79792846356	6229342625444
1772682053258329604	79792859528	6229345601140
1772682053258500235	79792872996	6229348759700
1772682053258675944	79792887204	6229351872548
1772682053258850156	79792900968	6229354993700
1772682053259023142	79792914880	6229358035892
1772682053259195528	79792928424	6229361082244
1772682053259365221	79792941892	6229364153524
1772682053259535232	79792955508	6229367145844
1772682053259705686	79792968976	6229370237908
1772682053259878305	79792982740	6229373379844
1772682053260051847	79792996504	6229376434504
1772682053260221524	79793009972	6229379381108
1772682053260388455	79793023216	6229382356804
1772682053260554968	79793036464	6229385332500
1772682053260722306	79793049708	6229388341444
1772682053260891800	79793063252	6229391466756
1772682053261067075	79793077088	6229394508948
1772682053261240023	79793090704	6229397601012
1772682053261409393	79793104320	6229400576708
1772682053261581442	79793117864	6229403689556
1772682053261752132	79793131404	6229406744212
1772682053261925186	79793145096	6229409803028
1772682053262098478	79793158860	6229412911716
1772682053262272563	79793172696	6229416003780
1772682053262444942	79793186388	6229419112468
1772682053262618712	79793200076	6229422196220
1772682053262791560	79793213916	6229425279972
1772682053262963744	79793227456	6229428247356
1772682053263130253	79793240704	6229431268772
1772682053263302838	79793254468	6229434340052
1772682053263475392	79793268008	6229437398868
1772682053263647226	79793281772	6229440549116
1772682053263821397	79793295612	6229443645336
1772682053263993519	79793309300	6229446621032
1772682053264163329	79793322620	6229449733876
1772682053264333516	79793336016	6229452643076
1772682053264499026	79793349188	6229455585524
1772682053264665847	79793362284	6229458582004
1772682053264832347	79793375604	6229461570164
1772682053265002473	79793389072	6229464612356
1772682053265174994	79793402688	6229467687796
1772682053265347216	79793416380	6229470742456
1772682053265519661	79793429920	6229473822052
1772682053265693049	79793443908	6229476897492
1772682053265865638	79793457524	6229479985400
1772682053266036546	79793470992	6229483048372
1772682053266209636	79793484976	6229486173684
1772682053266384142	79793498592	6229489215876
1772682053266556930	79793512208	6229492274692
1772682053266728567	79793525824	6229495358444
1772682053266900557	79793539440	6229498408948
1772682053267073256	79793553056	6229501451140
1772682053267244686	79793566600	6229504514116
1772682053267416411	79793580288	6229507568772
1772682053267591019	79793594200	6229510656680
1772682053267761616	79793607520	6229513732120
1772682053267934026	79793621360	6229516811716
1772682053268107617	79793635196	6229519903780
1772682053268279492	79793648812	6229522962596
1772682053268451627	79793662576	6229526067128
1772682053268624823	79793676268	6229529130100
1772682053268798009	79793689956	6229532197228
1772682053268970526	79793703720	6229535314228
1772682053269143330	79793717412	6229538381356
1772682053269315775	79793731028	6229541415236
1772682053269487336	79793744716	6229544519768
1772682053269659963	79793758408	6229547549492
1772682053269831935	79793771948	6229550575060
1772682053269998688	79793785120	6229553617252
1772682053270171359	79793799032	6229556642820
1772682053270338972	79793812280	6229559651764
1772682053270509030	79793825896	6229562727204
1772682053270681871	79793839584	6229565831736
1772682053270851724	79793852980	6229568848996
1772682053271025648	79793866816	6229571953524
1772682053271198460	79793880580	6229575012340
1772682053271371877	79793894048	6229578071156
1772682053271544310	79793907812	6229581129972
1772682053271714755	79793921428	6229584172164
1772682053271887155	79793934972	6229587247604
1772682053272060294	79793948660	6229590289796
1772682053272229300	79793961980	6229593298740
1772682053272398999	79793975596	6229596407428
1772682053272568140	79793989064	6229599316628
1772682053272737336	79794002312	6229602404536
1772682053272911001	79794016148	6229605459196
1772682053273083043	79794029764	6229608576196
1772682053273256092	79794043604	6229611564360
1772682053273424935	79794056924	6229614660580
1772682053273596819	79794070540	6229617719396
1772682053273769226	79794084228	6229620794836
1772682053273943527	79794098068	6229623899368
1772682053274117429	79794111756	6229626978964
1772682053274290339	79794125448	6229629987908
1772682053274457421	79794138544	6229632938668
1772682053274624136	79794151792	6229635897740
1772682053274790385	79794165036	6229638898372
1772682053274958766	79794178432	6229641973812
1772682053275132204	79794192196	6229645011848
1772682053275304464	79794205884	6229648095604
1772682053275477545	79794219576	6229651133636
1772682053275644523	79794232820	6229654150892
1772682053275816280	79794246436	6229657226332
1772682053275989774	79794260128	6229660293460
1772682053276163809	79794273964	6229663418772
1772682053276336729	79794287656	6229666444340
1772682053276508767	79794301196	6229669519780
1772682053276681308	79794315036	6229672624312
1772682053276854655	79794328576	6229675658196
1772682053277027627	79794342192	6229678733636
1772682053277199507	79794355808	6229681763356
1772682053277370806	79794369424	6229684809704
1772682053277537855	79794382672	6229687806180
1772682053277709837	79794396140	6229690844216
1772682053277882342	79794409828	6229693923812
1772682053278055870	79794423444	6229696999252
1772682053278228710	79794437948	6229700224308
1772682053278410801	79794451564	6229703345464
1772682053278584093	79794465404	6229706416748
1772682053278754658	79794478796	6229709367508
1772682053278921314	79794491820	6229712276708
1772682053279086864	79794505140	6229715235780
1772682053279253973	79794518312	6229718223944
1772682053279420328	79794531484	6229721203796
1772682053279586603	79794544732	6229724158712
1772682053279756587	79794558052	6229727205060
1772682053279925784	79794571520	6229730209848
1772682053280098919	79794585060	6229733272820
1772682053280272016	79794598824	6229736327480
1772682053280444709	79794612292	6229739407076
1772682053280617842	79794626056	6229742511608
1772682053280787839	79794639524	6229745524708
1772682053280959647	79794652180	6229748350788
1772682053281131344	79794666016	6229751484412
1772682053281304749	79794680004	6229754609724
1772682053281478188	79794693768	6229757751660
1772682053281650789	79794707900	6229760868660
1772682053281823653	79794721664	6229764043844
1772682053281996594	79794735652	6229767152532
1772682053282169740	79794749564	6229770261220
1772682053282340705	79794763328	6229773386532
1772682053282514492	79794777240	6229776412100
1772682053282684175	79794790708	6229779483384
1772682053282856812	79794804472	6229782596228
1772682053283026584	79794817792	6229785601016
1772682053283198881	79794831480	6229788680612
1772682053283372891	79794845392	6229791780988
1772682053283545151	79794859008	6229794831492
1772682053283717295	79794872772	6229797915244
1772682053283889673	79794886536	6229800986532
1772682053284063114	79794900152	6229804057812
1772682053284235461	79794913844	6229807187284
1772682053284408865	79794927608	6229810225316
1772682053284581758	79794941224	6229813300756
1772682053284754486	79794954912	6229816392820
1772682053284928932	79794968676	6229819455796
1772682053285101542	79794982368	6229822556168
1772682053285275072	79794996204	6229825669012
1772682053285448500	79795009896	6229828698740
1772682053285619261	79795023512	6229831803268
1772682053285792128	79795037276	6229834845460
1772682053285963337	79795050816	6229837945836
1772682053286136827	79795064508	6229841012964
1772682053286309793	79795078196	6229844080092
1772682053286480011	79795091516	6229847097348
1772682053286652375	79795105208	6229850156164
1772682053286825321	79795118896	6229853231604
1772682053286997832	79795132660	6229856323668
1772682053287171791	79795146424	6229859399108
1772682053287343807	79795160116	6229862395588
1772682053287509400	79795173064	6229865350500
1772682053287676834	79795186460	6229868376068
1772682053287849830	79795200372	6229871534628
1772682053288023399	79795214060	6229874610068
1772682053288196559	79795227752	6229877693820
1772682053288369868	79795241516	6229880744324
1772682053288542220	79795255132	6229883819764
1772682053288715165	79795268896	6229886911828
1772682053288888545	79795282584	6229889987268
1772682053289060763	79795296200	6229893029460
1772682053289233284	79795309892	6229896117368
1772682053289406568	79795323656	6229899196964
1772682053289579093	79795337492	6229902289028
1772682053289751907	79795351108	6229905381092
1772682053289925128	79795364872	6229908473156
1772682053290097329	79795378636	6229911548596
1772682053290269446	79795392180	6229914615724
1772682053290438644	79795405572	6229917632980
1772682053290611665	79795419484	6229920725044
1772682053290784637	79795433176	6229923817108
1772682053290959016	79795446792	6229926909172
1772682053291132870	79795460628	6229929976300
1772682053291305472	79795474244	6229933043428
1772682053291476879	79795487936	6229936068996
1772682053291647892	79795501476	6229939127812
1772682053291819357	79795515020	6229942186628
1772682053291990799	79795528856	6229945307784
1772682053292163127	79795542324	6229948320884
1772682053292334355	79795555940	6229951388012
1772682053292506868	79795569780	6229954500856
1772682053292679476	79795583396	6229957563828
1772682053292851306	79795597012	6229960668360
