timestamp	tx_byte_counter	rx_byte_counter
1772683122355440888	79806771084	6232469549972
1772683122355612012	79806771084	6232469815956
1772683122355784470	79806779892	6232472779188
1772683122355956686	79806792988	6232475717476
1772683122356125510	79806806088	6232478709796
1772683122356297694	79806819480	6232481664712
1772683122356467439	79806832580	6232484644564
1772683122356639260	79806846048	6232487641044
1772683122356811008	79806859440	6232490612580
1772683122356976839	79806872096	6232493521780
1772683122357148024	79806885416	6232496505788
1772683122357319689	79806899032	6232499572916
1772683122357492273	79806912352	6232502581860
1772683122357668874	79806926116	6232505690548
1772683122357844410	79806939584	6232508716116
1772683122358021680	79806953052	6232511725060
1772683122358196171	79806966444	6232514746472
1772683122358371708	79806980728	6232518100364
1772683122358567535	79806995232	6232521317108
1772683122358752407	79807009364	6232524396708
1772683122358931433	79807022980	6232527517860
1772683122359109178	79807036596	6232530481092
1772683122359282218	79807050140	6232532866632
1772683122359454982	79807054060	6232534437604
1772683122359658583	79807067676	6232537459012
1772683122359831214	79807081220	6232540521988
1772683122360005314	79807094760	6232543476900
1772683122360174962	79807107932	6232546477532
1772683122360346826	79807120512	6232547782516
1772683122360555665	79807127024	6232550874580
1772683122360737443	79807141084	6232554016516
1772683122360918995	79807155220	6232557204168
1772683122361098384	79807169204	6232560350260
1772683122361279376	79807183412	6232563458948
1772683122361454578	79807197104	6232566650756
1772683122361636510	79807211236	6232569709572
1772683122361811354	79807224928	6232572851508
1772683122361987246	79807238616	6232575860452
1772683122362160427	79807252012	6232578852772
1772683122362333368	79807265480	6232581940680
1772683122362503746	79807278800	6232584899752
1772683122362673980	79807292120	6232587862980
1772683122362844351	79807305512	6232590938420
1772683122363019471	79807319424	6232594092824
1772683122363198874	79807333412	6232597201512
1772683122363376440	79807347028	6232600264484
1772683122363548321	79807360568	6232603223556
1772683122363720501	79807374036	6232606315620
1772683122363894627	79807387504	6232609316252
1772683122364065563	79807400900	6232612246232
1772683122364234277	79807414368	6232615433884
1772683122364417847	79807428500	6232618617380
1772683122364591983	79807442264	6232621684508
1772683122364770889	79807456176	6232624813976
1772683122364950835	79807470312	6232627943444
1772683122365130058	79807484148	6232631093692
1772683122365309503	79807498284	6232634268876
1772683122365488603	79807512268	6232637435748
1772683122365668815	79807526256	6232640507032
1772683122365844052	79807540020	6232643669748
1772683122366022815	79807554080	6232646790904
1772683122366203030	79807568064	6232650003492
1772683122366382799	79807582420	6232653116340
1772683122366567042	79807596556	6232656337236
1772683122366744563	79807610540	6232659479172
1772683122366924197	79807624600	6232662654356
1772683122367103207	79807638588	6232665750580
1772683122367281859	79807652648	6232668938228
1772683122367461211	79807666708	6232672146660
1772683122367644858	79807680916	6232675338468
1772683122367825226	79807695196	6232678497028
1772683122368005669	79807709184	6232681655588
1772683122368183692	79807722948	6232684760120
1772683122368363817	79807737008	6232687906212
1772683122368543819	79807751068	6232691043992
1772683122368723646	79807764832	6232694152680
1772683122368903191	79807778892	6232697290460
1772683122369080742	79807792360	6232700365900
1772683122369258649	79807806492	6232703449652
1772683122369433948	79807819960	6232706491844
1772683122369607836	79807833428	6232709496632
1772683122369779923	79807846972	6232712559604
1772683122369953231	79807860440	6232715551924
1772683122370125469	79807873832	6232718544244
1772683122370297752	79807887004	6232721603060
1772683122370473358	79807900992	6232724666036
1772683122370649565	79807914680	6232727749784
1772683122370827077	79807928372	6232730879252
1772683122371002801	79807941988	6232733871572
1772683122371176228	79807955752	6232737046756
1772683122371358506	79807969812	6232740230252
1772683122371541569	79807984168	6232743372188
1772683122371721186	79807997856	6232746522436
1772683122371901764	79808011992	6232749664372
1772683122372082240	79808026124	6232752822932
1772683122372264309	79808040260	6232756010584
1772683122372445414	79808054320	6232759177460
1772683122372622406	79808067936	6232762215492
1772683122372798362	79808081700	6232765320024
1772683122372978308	79808095684	6232768457804
1772683122373157626	79808109744	6232771574804
1772683122373332200	79808123288	6232774654404
1772683122373511847	79808137272	6232777808804
1772683122373691451	79808151556	6232781029704
1772683122373875339	79808165468	6232784142548
1772683122374055205	79808179452	6232787226300
1772683122374227752	79808192996	6232790326676
1772683122374407027	79808206980	6232793468612
1772683122374582754	79808220524	6232796448468
1772683122374757424	79808234212	6232799519748
1772683122374931114	79808247904	6232802661684
1772683122375112489	79808261668	6232805786996
1772683122375290372	79808275580	6232808879060
1772683122375467482	79808288604	6232811788260
1772683122375644216	79808302440	6232814896948
1772683122375818148	79808316352	6232817993172
1772683122375991943	79808330116	6232821060296
1772683122376164404	79808343808	6232824164828
1772683122376338555	79808357496	6232827198708
1772683122376508683	79808371484	6232830432076
1772683122376692392	79808385544	6232833565700
1772683122376868779	79808399676	6232836740884
1772683122377045229	79808413440	6232839816324
1772683122377216956	79808427280	6232842908388
1772683122377389511	79808440820	6232845954740
1772683122377561286	79808454364	6232849005240
1772683122377734581	79808467904	6232851943532
1772683122377904224	79808481224	6232855139496
1772683122378084504	79808495284	6232858219092
1772683122378260492	79808508828	6232861244660
1772683122378434004	79808522664	6232864320100
1772683122378608038	79808536132	6232867362292
1772683122378780495	79808549600	6232870404484
1772683122378953904	79808563292	6232873396804
1772683122379123627	79808576464	6232876472244
1772683122379303185	79808590376	6232879597556
1772683122379479692	79808604288	6232882639748
1772683122379649037	79808617532	6232885615444
1772683122379822538	79808630852	6232888674260
1772683122379994459	79808644396	6232891666580
1772683122380163774	79808657640	6232894675524
1772683122380336621	79808671036	6232897846552
1772683122380518758	79808685540	6232900955240
1772683122380694848	79808699228	6232904051460
1772683122380874181	79808713436	6232907180932
1772683122381050091	79808727200	6232910268836
1772683122381226774	79808740520	6232913277780
1772683122381398616	79808754136	6232916319972
1772683122381571594	79808767456	6232919279044
1772683122381741322	79808780704	6232922271364
1772683122381911870	79808794096	6232925247060
1772683122382082550	79808807640	6232928422244
1772683122382265174	79808822144	6232931614052
1772683122382444978	79808835760	6232934672868
1772683122382619222	79808849300	6232937760776
1772683122382796995	79808863360	6232940873620
