timestamp	tx_byte_counter	rx_byte_counter
1772719732408475914	79897702284	6252897121172
1772719732408671721	79897702284	6252897129484
1772719732408866562	79897710128	6252900412724
1772719732409063309	79897725224	6252903720900
1772719732409255693	79897740024	6252907132980
1772719732409454398	79897755344	6252910470244
1772719732409645815	79897769996	6252913778420
1772719732409837933	79897784868	6252917132312
1772719732410026947	79897799448	6252920394772
1772719732410219096	79897814468	6252923732040
1772719732410410363	79897829120	6252927077620
1772719732410603422	79897844144	6252930502164
1772719732410800554	79897859312	6252933781252
1772719732410991280	79897873892	6252937118516
1772719732411184816	79897888692	6252940459940
1772719732411375570	79897903416	6252943701620
1772719732411562076	79897917996	6252947018108
1772719732411753917	79897932796	6252950301348
1772719732411940920	79897947596	6252953676020
1772719732412134375	79897962172	6252956934324
1772719732412324231	79897976752	6252960176004
1772719732412514814	79897991404	6252963184948
1772719732412801315	79898004724	6252966476500
1772719732412991999	79898019448	6252969701556
1772719732413178741	79898033584	6252971771244
1772719732413369154	79898039060	6252974273156
1772719732413561980	79898053564	6252977456652
1772719732413848192	79898068216	6252980773140
1772719732414036342	79898083088	6252984114564
1772719732414225792	79898096188	6252985353052
1772719732414415171	79898103660	6252988752660
1772719732414604891	79898118684	6252992143956
1772719732414797345	79898133336	6252995285892
1772719732414977250	79898147912	6252998643940
1772719732415169169	79898163380	6253002193164
1772719732415371091	79898178548	6253005538744
1772719732415561964	79898193348	6253008884324
1772719732415748633	79898208148	6253012192500
1772719732415940000	79898223024	6253015533924
1772719732416133723	79898237896	6253018937688
1772719732416323686	79898252772	6253022220932
1772719732416514656	79898267572	6253025641316
1772719732416709610	79898283036	6253029045080
1772719732416901224	79898298060	6253032453000
1772719732417094350	79898313080	6253035798580
1772719732417286088	79898328028	6253039140004
1772719732417476040	79898342904	6253042481428
1772719732417667173	79898358000	6253045889348
1772719732417858647	79898372872	6253049197524
1772719732418048338	79898387748	6253052588820
1772719732418240919	79898402844	6253056046612
1772719732418438175	79898418012	6253059388036
1772719732418628921	79898432960	6253062712836
1772719732418816298	79898447612	6253066021012
1772719732419006014	79898462560	6253069395684
1772719732419200228	79898477508	6253072695548
1772719732419389658	79898492236	6253076028660
1772719732419580088	79898507256	6253079370084
1772719732419769954	79898522056	6253082740600
1772719732419961338	79898536932	6253086119428
1772719732420154108	79898552028	6253089494100
1772719732420346915	79898567124	6253092818900
1772719732420537850	79898581996	6253096239288
1772719732420728901	79898596944	6253099613960
1772719732420924810	79898611892	6253102909668
1772719732421109808	79898626544	6253106134724
1772719732421293479	79898640752	6253109260036
1772719732421471532	79898654444	6253112352100
1772719732421649415	79898668356	6253115489880
1772719732421828987	79898682340	6253118714936
1772719732422011193	79898696772	6253121973240
1772719732422199715	79898711424	6253125235700
1772719732422389443	79898726224	6253128560500
1772719732422578278	79898740876	6253131885300
1772719732422769395	79898755748	6253135243348
1772719732422961170	79898770548	6253138551524
1772719732423151472	79898785348	6253141851388
1772719732423340260	79898800076	6253145167876
1772719732423530823	79898814800	6253148476052
1772719732423718255	79898829380	6253151763448
1772719732423909256	79898844548	6253155175524
1772719732424102217	79898859424	6253158500324
1772719732424292483	79898874372	6253161991364
1772719732424491921	79898889764	6253165370196
1772719732424683223	79898904712	6253168707460
1772719732424874370	79898919436	6253172082132
1772719732425069879	79898935052	6253175506676
1772719732425265915	79898949852	6253178852260
1772719732425456378	79898964652	6253182226932
1772719732425648022	79898979672	6253185580820
1772719732425838600	79898994696	6253188918088
1772719732426029868	79899009420	6253192267828
1772719732426221861	79899024592	6253195588468
1772719732426411742	79899039316	6253198929892
1772719732426602508	79899054560	6253202267160
1772719732426793714	79899068844	6253205492216
1772719732426977564	79899083420	6253208837796
1772719732427168278	79899098220	6253212162596
1772719732427358996	79899113020	6253215491556
1772719732427549946	79899127820	6253218895316
1772719732427743203	79899142696	6253222170244
1772719732427929331	79899157716	6253225540760
1772719732428120567	79899172664	6253228919588
1772719732428314060	79899187316	6253232123864
1772719732428497825	79899202192	6253235535940
1772719732428690935	79899216916	6253237580692
1772719732428881118	79899217804	6253237580692
1772719732429072478	79899217804	6253237580692
1772719732429263993	79899217804	6253237580692
1772719732429454346	79899217804	6253237580692
1772719732429653076	79899217804	6253238773464
1772719732429845585	79899231864	6253242252036
1772719732430038942	79899247184	6253245659956
1772719732430230949	79899262428	6253249067876
1772719732430423751	79899277672	6253252509044
1772719732430614327	79899292768	6253255883716
1772719732430806010	79899307716	6253259266700
1772719732430997405	79899323032	6253262678776
1772719732431187532	79899338056	6253266090852
1772719732431379636	79899353300	6253269498772
1772719732431572324	79899368544	6253272939940
1772719732431765511	79899383936	6253276389420
1772719732431957956	79899399400	6253279880460
1772719732432152185	79899414572	6253283263444
1772719732432346264	79899429888	6253286712924
1772719732432540826	79899445060	6253290162404
1772719732432734597	79899460524	6253293603572
1772719732432926347	79899475768	6253296994868
1772719732433119539	79899490864	6253300419412
1772719732433309269	79899505740	6253303661092
1772719732433497291	79899520316	6253306965112
1772719732433684054	79899535264	6253310389656
1772719732433877460	79899550436	6253313801732
1772719732434071129	79899565604	6253317176404
1772719732434262922	79899580480	6253320517828
1772719732434453500	79899595428	6253323909124
1772719732434644453	79899610448	6253327196520
1772719732434833499	79899625472	6253330591972
1772719732435026174	79899640272	6253333916772
1772719732435212426	79899655220	6253337216636
1772719732435401047	79899669352	6253340429224
1772719732435583709	79899684080	6253343791428
1772719732435776277	79899699028	6253347099604
1772719732435969317	79899714124	6253350553240
1772719732436162551	79899729220	6253353902980
1772719732436352405	79899744020	6253357236088
1772719732436544291	79899759264	6253360681412
1772719732436738910	79899774212	6253364035304
1772719732436930297	79899789084	6253367409976
1772719732437120478	79899804256	6253370772180
1772719732437312087	79899819056	6253374121916
1772719732437503082	79899834224	6253377554772
