timestamp	tx_byte_counter	rx_byte_counter
1772683444236368227	79821926284	6235874145172
1772683444236547510	79821926284	6235875524964
1772683444236730323	79821940492	6235878683524
1772683444236911765	79821954480	6235881775588
1772683444237090751	79821968244	6235884614136
1772683444237268892	79821979416	6235887111892
1772683444237595653	79821992736	6235889992004
1772683444238742608	79822003244	6235892344296
1772683444239888137	79822013456	6235894709060
1772683444241144448	79822024336	6235897123700
1772683444242224286	79822034844	6235899559112
1772683444243226206	79822045944	6235901998684
1772683444244224674	79822056896	6235904442412
1772683444245228548	79822067404	6235906877828
1772683444246226361	79822078576	6235909313244
1772683444247225640	79822089232	6235911744504
1772683444248219829	79822100260	6235914188232
1772683444249221085	79822111212	6235916627804
1772683444250220630	79822121792	6235919063220
1772683444251224716	79822132968	6235921519416
1772683444252227334	79822143624	6235923958988
1772683444253226306	79822154648	6235926398564
1772683444254226275	79822165156	6235928846444
1772683444255229264	79822176184	6235931281860
1772683444256229303	79822187284	6235933725588
1772683444257231696	79822197644	6235936165160
1772683444258232275	79822209040	6235938608888
1772683444259235338	79822219548	6235941056772
1772683444260240072	79822230648	6235943504660
1772683444261243119	79822241672	6235945948388
1772683444262245527	79822252108	6235948396268
1772683444263249180	79822263504	6235950839996
1772683444264252753	79822274012	6235953292036
1772683444265257143	79822285112	6235955735764
1772683444266260716	79822296064	6235958179492
1772683444267261249	79822306572	6235960623220
1772683444268265454	79822317820	6235963075260
1772683444269270574	79822328476	6235965518988
1772683444270274069	79822339576	6235967962716
1772683444271275652	79822350528	6235970406444
1772683444272278572	79822361036	6235972854328
1772683444273283595	79822372284	6235975298056
1772683444274284938	79822382940	6235977741784
1772683444275288695	79822393964	6235980181356
1772683444276290031	79822404992	6235982629240
1772683444277293452	79822415500	6235985072968
1772683444278292696	79822426748	6235987516696
1772683444279294453	79822437328	6235989960424
1772683444280296541	79822448428	6235992404152
1772683444281299831	79822459308	6235994847880
1772683444282301984	79822469964	6235997304076
1772683444283310184	79822481136	6235999747804
1772683444284314478	79822491792	6236002199844
1772683444285318939	79822502892	6236004635260
1772683444286313135	79822513772	6236007074836
1772683444287311984	79822524428	6236009518564
1772683444288313983	79822535528	6236011958132
1772683444289316579	79822546184	6236014397704
1772683444290317001	79822557208	6236016841432
1772683444291319247	79822568160	6236019289316
1772683444292320123	79822578816	6236021737204
1772683444293321427	79822589916	6236024172616
1772683444294322289	79822600204	6236026620500
1772683444295326549	79822611672	6236029068388
1772683444296329693	79822622180	6236031516268
1772683444297331506	79822633280	6236033955844
1772683444298332317	79822644308	6236036403724
1772683444299336180	79822654668	6236038864076
1772683444300338445	79822666136	6236041303652
1772683444301339099	79822676644	6236043734908
1772683444302338163	79822687596	6236046170324
1772683444303339552	79822698696	6236048614052
1772683444304343560	79822709132	6236051066092
1772683444305350106	79822720452	6236053509820
1772683444306351147	79822731036	6236055953548
1772683444307350518	79822742060	6236058397276
1772683444308353735	79822753160	6236060845160
1772683444309356873	79822763596	6236063284732
1772683444310357650	79822774916	6236065728460
1772683444311361878	79822785500	6236068176344
1772683444312364245	79822796524	6236070620072
1772683444313368907	79822807476	6236073063800
1772683444314370624	79822818060	6236075519996
1772683444315376035	79822829308	6236077959572
1772683444316379350	79822839964	6236080407452
1772683444317383282	79822850988	6236082851180
1772683444318384967	79822861940	6236085294908
1772683444319387422	79822872524	6236087738636
1772683444320389690	79822883696	6236090186520
1772683444321393074	79822894428	6236092630248
1772683444322394701	79822905380	6236095073976
1772683444323394401	79822915888	6236097509396
1772683444324398903	79822926912	6236099953124
1772683444325401983	79822938012	6236102396852
1772683444326401693	79822948816	6236104840580
1772683444327403439	79822959844	6236107288460
1772683444328405565	79822970352	6236109732188
1772683444329407368	79822981376	6236112171764
1772683444330409559	79822992476	6236114615492
1772683444331411866	79823003208	6236117059220
1772683444332417342	79823014232	6236119507100
1772683444333419231	79823024816	6236121950828
1772683444334421104	79823035768	6236124398712
1772683444335423778	79823046940	6236126846596
1772683444336426256	79823057672	6236129290324
1772683444337429108	79823068696	6236131734052
1772683444338427154	79823079204	6236134173624
1772683444339425119	79823090232	6236136617352
1772683444340426839	79823101256	6236139056924
1772683444341427586	79823111988	6236141500652
1772683444342425322	79823123012	6236143931912
1772683444343424900	79823133596	6236146371484
1772683444344425511	79823144620	6236148815212
1772683444345427365	79823155204	6236151254788
1772683444346419886	79823166080	6236153698516
1772683444347421972	79823177256	6236156138084
1772683444348421349	79823188060	6236158581812
1772683444349424187	79823198936	6236161021384
1772683444350426577	79823209592	6236163460956
1772683444351425809	79823220472	6236165892216
1772683444352410721	79823231572	6236168331788
1772683444353412156	79823241932	6236170771364
1772683444354412240	79823253328	6236173210932
1772683444355412680	79823263836	6236175646348
1772683444356409941	79823274860	6236178090076
1772683444357410517	79823285888	6236180525492
1772683444358408925	79823296396	6236182969220
1772683444359412029	79823307644	6236185408792
1772683444360414769	79823318224	6236187852520
1772683444361416062	79823329324	6236190287940
1772683444362414965	79823340204	6236192731668
