[0;36m(EngineCore_DP0 pid=432)[0;0m INFO 03-05 15:05:56 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:00 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 6.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:00 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=37.512, P90 xfer time (ms)=37.512, Avg post time (ms)=22.021, P90 post time (ms)=22.021, Avg MB per transfer=1280.0, Throughput (MB/s)=34122.414, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:10 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 32.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:10 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.363, P90 xfer time (ms)=28.363, Avg post time (ms)=2.265, P90 post time (ms)=2.265, Avg MB per transfer=1280.0, Throughput (MB/s)=45129.218, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:20 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 32.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:20 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.052, P90 xfer time (ms)=28.052, Avg post time (ms)=1.569, P90 post time (ms)=1.569, Avg MB per transfer=1280.0, Throughput (MB/s)=45629.545, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:30 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 30.9 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:30 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.136, P90 xfer time (ms)=28.136, Avg post time (ms)=1.565, P90 post time (ms)=1.565, Avg MB per transfer=1280.0, Throughput (MB/s)=45493.318, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:40 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 30.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:40 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=28.775, P90 xfer time (ms)=29.041, Avg post time (ms)=1.556, P90 post time (ms)=1.562, Avg MB per transfer=1280.0, Throughput (MB/s)=44482.285, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:50 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 32.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:06:50 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=29.535, P90 xfer time (ms)=29.535, Avg post time (ms)=1.558, P90 post time (ms)=1.558, Avg MB per transfer=1280.0, Throughput (MB/s)=43338.412, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:00 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 32.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:00 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.716, P90 xfer time (ms)=28.716, Avg post time (ms)=1.547, P90 post time (ms)=1.547, Avg MB per transfer=1280.0, Throughput (MB/s)=44574.453, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:10 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 32.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:10 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.227, P90 xfer time (ms)=28.227, Avg post time (ms)=1.611, P90 post time (ms)=1.611, Avg MB per transfer=1280.0, Throughput (MB/s)=45346.654, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:20 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 28.6 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:20 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=28.684, P90 xfer time (ms)=28.892, Avg post time (ms)=1.563, P90 post time (ms)=1.564, Avg MB per transfer=1280.0, Throughput (MB/s)=44624.959, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:30 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 32.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:30 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.558, P90 xfer time (ms)=28.558, Avg post time (ms)=1.557, P90 post time (ms)=1.557, Avg MB per transfer=1280.0, Throughput (MB/s)=44821.066, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:40 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:40 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.365, P90 xfer time (ms)=28.365, Avg post time (ms)=1.57, P90 post time (ms)=1.57, Avg MB per transfer=1280.0, Throughput (MB/s)=45126.036, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:50 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:07:50 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.076, P90 xfer time (ms)=28.076, Avg post time (ms)=1.572, P90 post time (ms)=1.572, Avg MB per transfer=1280.0, Throughput (MB/s)=45590.54, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:00 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:00 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.528, P90 xfer time (ms)=28.528, Avg post time (ms)=1.582, P90 post time (ms)=1.582, Avg MB per transfer=1280.0, Throughput (MB/s)=44868.2, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:10 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 29.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:10 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=28.716, P90 xfer time (ms)=28.834, Avg post time (ms)=1.584, P90 post time (ms)=1.587, Avg MB per transfer=1280.0, Throughput (MB/s)=44574.453, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:20 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:20 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.609, P90 xfer time (ms)=28.609, Avg post time (ms)=1.551, P90 post time (ms)=1.551, Avg MB per transfer=1280.0, Throughput (MB/s)=44741.165, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:30 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:30 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.176, P90 xfer time (ms)=28.176, Avg post time (ms)=1.579, P90 post time (ms)=1.579, Avg MB per transfer=1280.0, Throughput (MB/s)=45428.734, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:40 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:40 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=27.981, P90 xfer time (ms)=27.981, Avg post time (ms)=1.587, P90 post time (ms)=1.587, Avg MB per transfer=1280.0, Throughput (MB/s)=45745.327, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:08:50 [loggers.py:257] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 3.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:00 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 25.6 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:00 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.819, P90 xfer time (ms)=28.819, Avg post time (ms)=1.579, P90 post time (ms)=1.579, Avg MB per transfer=1280.0, Throughput (MB/s)=44415.143, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:10 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 30.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:10 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=28.498, P90 xfer time (ms)=28.668, Avg post time (ms)=1.552, P90 post time (ms)=1.565, Avg MB per transfer=1280.0, Throughput (MB/s)=44915.433, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:20 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:20 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.035, P90 xfer time (ms)=28.035, Avg post time (ms)=1.564, P90 post time (ms)=1.564, Avg MB per transfer=1280.0, Throughput (MB/s)=45657.214, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:30 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:30 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.772, P90 xfer time (ms)=28.772, Avg post time (ms)=1.56, P90 post time (ms)=1.56, Avg MB per transfer=1280.0, Throughput (MB/s)=44487.696, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:40 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:40 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=29.121, P90 xfer time (ms)=29.121, Avg post time (ms)=1.566, P90 post time (ms)=1.566, Avg MB per transfer=1280.0, Throughput (MB/s)=43954.535, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:50 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 28.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:09:50 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=28.263, P90 xfer time (ms)=28.33, Avg post time (ms)=1.55, P90 post time (ms)=1.552, Avg MB per transfer=1280.0, Throughput (MB/s)=45288.894, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:10:00 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:10:00 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.42, P90 xfer time (ms)=28.42, Avg post time (ms)=1.559, P90 post time (ms)=1.559, Avg MB per transfer=1280.0, Throughput (MB/s)=45038.705, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:10:10 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 31.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:10:10 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.507, P90 xfer time (ms)=28.507, Avg post time (ms)=1.593, P90 post time (ms)=1.593, Avg MB per transfer=1280.0, Throughput (MB/s)=44901.252, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:10:20 [loggers.py:257] Engine 000: Avg prompt throughput: 409.5 tokens/s, Avg generation throughput: 31.7 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 1.2%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 15:10:20 [metrics.py:103] KV Transfer metrics: Num successful transfers=1, Avg xfer time (ms)=28.394, P90 xfer time (ms)=28.394, Avg post time (ms)=1.586, P90 post time (ms)=1.586, Avg MB per transfer=1280.0, Throughput (MB/s)=45079.946, Avg number of descriptors=40960.0
