[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-05 17:27:47 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-05 17:27:47 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:27:58 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 34.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:27:58 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=146.327, P90 xfer time (ms)=206.294, Avg post time (ms)=27.637, P90 post time (ms)=52.914, Avg MB per transfer=640.0, Throughput (MB/s)=4373.773, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:28:08 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:28:08 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=206.727, P90 xfer time (ms)=207.306, Avg post time (ms)=2.502, P90 post time (ms)=2.741, Avg MB per transfer=640.0, Throughput (MB/s)=3095.867, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:28:18 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 49.4 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:28:18 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=206.86, P90 xfer time (ms)=206.891, Avg post time (ms)=2.498, P90 post time (ms)=2.692, Avg MB per transfer=640.0, Throughput (MB/s)=3093.872, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:28:28 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 45.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:28:28 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=204.902, P90 xfer time (ms)=205.069, Avg post time (ms)=2.507, P90 post time (ms)=2.733, Avg MB per transfer=640.0, Throughput (MB/s)=3123.444, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 17:28:38 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
