[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-05 16:28:31 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-05 16:28:31 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:28:44 [loggers.py:257] Engine 000: Avg prompt throughput: 819.3 tokens/s, Avg generation throughput: 47.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:28:44 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=206.633, P90 xfer time (ms)=214.334, Avg post time (ms)=45.028, P90 post time (ms)=89.783, Avg MB per transfer=640.0, Throughput (MB/s)=3097.271, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:28:54 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:28:54 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.09, P90 xfer time (ms)=199.566, Avg post time (ms)=2.095, P90 post time (ms)=2.185, Avg MB per transfer=640.0, Throughput (MB/s)=3214.631, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:29:04 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.0 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:29:04 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.998, P90 xfer time (ms)=200.512, Avg post time (ms)=2.105, P90 post time (ms)=2.188, Avg MB per transfer=640.0, Throughput (MB/s)=3200.024, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:29:14 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 43.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:29:14 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=199.901, P90 xfer time (ms)=200.502, Avg post time (ms)=2.11, P90 post time (ms)=2.211, Avg MB per transfer=640.0, Throughput (MB/s)=3201.581, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 16:29:24 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 49.3 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
