[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-05 02:04:34 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-05 02:04:34 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:04:46 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 39.7 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:04:46 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=211.722, P90 xfer time (ms)=220.519, Avg post time (ms)=37.245, P90 post time (ms)=72.445, Avg MB per transfer=640.0, Throughput (MB/s)=3022.828, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:04:56 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:04:56 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=201.514, P90 xfer time (ms)=202.325, Avg post time (ms)=2.255, P90 post time (ms)=2.264, Avg MB per transfer=640.0, Throughput (MB/s)=3175.962, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:06 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.7 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:06 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=202.122, P90 xfer time (ms)=202.374, Avg post time (ms)=2.254, P90 post time (ms)=2.274, Avg MB per transfer=640.0, Throughput (MB/s)=3166.404, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:16 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 49.8 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:16 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=201.416, P90 xfer time (ms)=201.563, Avg post time (ms)=2.26, P90 post time (ms)=2.263, Avg MB per transfer=640.0, Throughput (MB/s)=3177.511, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:26 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 44.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:26 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=202.772, P90 xfer time (ms)=202.899, Avg post time (ms)=2.254, P90 post time (ms)=2.263, Avg MB per transfer=640.0, Throughput (MB/s)=3156.262, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:36 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 44.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:36 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=201.816, P90 xfer time (ms)=202.335, Avg post time (ms)=2.237, P90 post time (ms)=2.248, Avg MB per transfer=640.0, Throughput (MB/s)=3171.209, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:05:46 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 44.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
