[0;36m(Worker_TP1 pid=709)[0;0m INFO 03-05 02:51:38 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP0 pid=708)[0;0m INFO 03-05 02:51:38 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:51:43 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 10.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:51:43 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=211.334, P90 xfer time (ms)=211.356, Avg post time (ms)=77.022, P90 post time (ms)=77.156, Avg MB per transfer=640.0, Throughput (MB/s)=3028.374, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:51:53 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 45.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:51:53 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=202.042, P90 xfer time (ms)=202.681, Avg post time (ms)=2.272, P90 post time (ms)=2.322, Avg MB per transfer=640.0, Throughput (MB/s)=3167.654, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:52:03 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 46.4 tokens/s, Running: 0 reqs, Waiting: 1 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:52:03 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=203.016, P90 xfer time (ms)=203.075, Avg post time (ms)=2.241, P90 post time (ms)=2.273, Avg MB per transfer=640.0, Throughput (MB/s)=3152.469, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:52:13 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 50.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:52:13 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=202.306, P90 xfer time (ms)=202.909, Avg post time (ms)=2.276, P90 post time (ms)=2.34, Avg MB per transfer=640.0, Throughput (MB/s)=3163.517, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 03-05 02:52:23 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 45.7 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
