[0;36m(Worker_TP0 pid=714)[0;0m INFO 02-26 23:52:23 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(Worker_TP1 pid=715)[0;0m INFO 02-26 23:52:23 [nixl_connector.py:1080] NIXL compatibility check passed (hash: f5d75f12ec071545714795b4753d5ab78f2eb88c72dcd34a6e1f82e11c83aa18)
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:52:27 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 16.2 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:52:27 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=36.727, P90 xfer time (ms)=37.486, Avg post time (ms)=2.083, P90 post time (ms)=2.141, Avg MB per transfer=640.0, Throughput (MB/s)=17425.872, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:52:37 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:52:37 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=29.108, P90 xfer time (ms)=29.316, Avg post time (ms)=0.951, P90 post time (ms)=0.992, Avg MB per transfer=640.0, Throughput (MB/s)=21987.083, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:52:47 [loggers.py:257] Engine 000: Avg prompt throughput: 819.1 tokens/s, Avg generation throughput: 44.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:52:47 [metrics.py:103] KV Transfer metrics: Num successful transfers=4, Avg xfer time (ms)=28.836, P90 xfer time (ms)=28.912, Avg post time (ms)=0.97, P90 post time (ms)=1.006, Avg MB per transfer=640.0, Throughput (MB/s)=22194.287, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:52:57 [loggers.py:257] Engine 000: Avg prompt throughput: 409.6 tokens/s, Avg generation throughput: 47.6 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:52:57 [metrics.py:103] KV Transfer metrics: Num successful transfers=2, Avg xfer time (ms)=28.892, P90 xfer time (ms)=28.916, Avg post time (ms)=0.952, P90 post time (ms)=0.986, Avg MB per transfer=640.0, Throughput (MB/s)=22151.461, Avg number of descriptors=40960.0
[0;36m(APIServer pid=1)[0;0m INFO 02-26 23:53:07 [loggers.py:257] Engine 000: Avg prompt throughput: 819.2 tokens/s, Avg generation throughput: 47.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.5%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 100.0%
