,Decode,ISL: 2,OSL: 256,,,,,,,
,,,,,,,,,,
,GPUs,Concurrency,4,16,32,64,128,256,512
,,TP=1,468,1088,1568,2304,3456,4508,4600
,1,TPSG,468,1088,1568,2304,3456,4508,4600
,,TPSU,117,68,49,36,27,18,9
,,,,,,,,,,
,GPUs,Concurrency,4,16,32,64,128,256,512
,,TP=2,772,1860,2752,4288,6528,8400,8377
,2,TPSG,386,930,1376,2144,3264,4200,4188
,,TPSU,193,116,86,67,51,33,16
,,,,,,,,,,
,GPUs,Concurrency,4,16,32,64,128,256,512
,,TP=4,516,1840,3136,5120,8653,11501,11499
,4,TPSG,129,460,784,1280,2163,2875,2875
,,TPSU,129,115,98,80,68,45,22
,,,,,,,,,,
,GPUs,Concurrency,4,16,32,64,128,256,512
,,TP=8,936,2800,4287,7104,11392,14800,14985
,8,TPSG,117,350,536,888,1424,1850,1873
,,TPSU,234,175,134,111,89,58,29
,,,,,,,,,,
